Symbol,Price,Name,Country,52W Low,52W High,Wall Street Ratings,Market Cap,EV,Shares Outstanding,Institutional Shares,Insider %,Total Debt,Total Cash,Industry,Business Summary
INDV,33.63,"Indivior Pharmaceuticals, Inc.",United States,8.34,38,4.71,4127669800,4038669800,124853896,115309875,0.03492954725891099,356000000,445000000,Drug Manufacturers - Specialty & Generic,"Indivior Pharmaceuticals, Inc., together with its subsidiaries, develops, manufactures, and sells buprenorphine-based prescription drugs for the treatment of opioid dependence and related disorders in the United States, Europe, Canada, Australia, and internationally. The company develops medicines to treat substance use disorders. Its core marketed products include SUBLOCADE buprenorphine extended-release monthly injections; SUBOXONE Film, a buprenorphine and naloxone sublingual film; SUBOXONE Tablet, a buprenorphine and naloxone sublingual tablet; and SUBUTEX Tablet, a buprenorphine sublingual tablet for the treatment of opioid use disorder (OUD). The company also offers OPVEE nasal spray for opioid overdose reversal. In addition, it is developing INDV-2000, a selective orexin-1 receptor antagonist that is in Phase 2 clinical trial for the treatment of moderate to severe OUD; and INDV-6001, a buprenorphine-based long-acting injectable for the treatment of OUD in collaboration with Alar Pharmaceuticals Inc. The company was formerly known as Indivior PLC. and changed its name to Indivior Pharmaceuticals, Inc. in January 2026. Indivior Pharmaceuticals, Inc. was incorporated in 2014 and is headquartered in North Chesterfield, Virginia."
ENTA,14.64,"Enanta Pharmaceuticals, Inc.",United States,4.09,17.15,4.42,428035330,379314340,29019344,18980820,0.04564224470408428,193183000,185849000,Biotechnology,"Enanta Pharmaceuticals, Inc., a biotechnology company, discovers and develops small molecule drugs for virology and immunology indications. The company's product pipeline comprises EDP-514, which is in phase 1b clinical development for the treatment of chronic infection with hepatitis B virus or HBV; zelicapavir and EDP-323, which is in phase II clinical development for the treatment of respiratory syncytial virus; EDP-235, which is in phase II clinical development for the treatment of human coronaviruses; EDP-978 for chronic spontaneous urticaria (CSU); Glecaprevir, antiviral protease inhibitors for the treatment of chronic infection with hepatitis C virus or HCV; and EPS-3903 for the treatment of atopic dermatitis. It has a collaborative development and license agreement with Abbott Laboratories to develop, manufacture, and commercialize HCV NS3 and NS3/4A protease inhibitor compounds, including paritaprevir and glecaprevir. The company was incorporated in 1995 and is headquartered in Watertown, Massachusetts."
TGTX,29.66,"TG Therapeutics, Inc.",United States,25.28,46.48,4.33,4460496400,4583454000,146197840,108410354,0.045637847183891835,254540000,131582000,Biotechnology,"TG Therapeutics, Inc., a commercial stage biopharmaceutical company, focuses on the acquisition, development, and commercialization of novel treatments for B-cell mediated diseases in the United States and internationally. It provides BRIUMVI, an anti-CD20 monoclonal antibody for the treatment of adult patients with relapsing forms of multiple sclerosis (RMS), including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease in adults. The company's development pipeline comprises Ublituximab IV, glycoengineered anti-CD20 mAb for the treatment of relapsing MS; TG-1701 is an orally available and covalently bound Bruton's tyrosine kinase (BTK) inhibitor that exhibits selectivity to BTK in vitro kinase screening; and TG-1801, a bispecific CD47 and CD19 antibody. Its research pipeline includes various investigational medicines. The company has license agreements with LFB Biotechnologies S.A.S; GTC Biotherapeutics; LFB/GTC LLC; Ildong Pharmaceutical Co. Ltd.; Rhizen Pharmaceuticals, S A. for the development and commercialization of umbralisib; Jiangsu Hengrui Medicine Co.; and Novimmune SA, as well as collaboration agreement with Checkpoint Therapeutics, Inc. for the development and commercialization of anti-PD-L1 and anti-GITR antibody research programs in the field of hematological malignancies. The company was incorporated in 1993 and is based in Morrisville, North Carolina."
KALV,15.76,"KalVista Pharmaceuticals, Inc.",United States,9.235,19,4.77,797115000,770536060,50546292,46091349,0.015116053338125619,138462000,191465000,Biotechnology,"KalVista Pharmaceuticals, Inc., a biopharmaceutical company, engages in the discovery, development, and commercialization of drug therapies inhibitors for diseases with unmet needs. The company's product candidate is EKTERLY, a small molecule plasma kallikrein inhibitor targeting the disease of hereditary angioedema (HAE). It develops Factor XIIa, an oral inhibitor for the treatment of HAE which is in preclinical trial. In addition, the company is developing an orally disintegrating tablet formulation, including KONFIDENT-KID for pediatric use with HAE; KONFIDENT-S for adolescent and adult patients with type I or type II HAE; and KONFIDENT for a potential oral therapy for HAE attacks. KalVista Pharmaceuticals, Inc. is headquartered in Framingham, Massachusetts."
ESPR,3.33,"Esperion Therapeutics, Inc.",United States,0.6925,4.175,4,776919740,1285457700,235430220,141484121,0.008996413912646,600985000,92447000,Drug Manufacturers - Specialty & Generic,"Esperion Therapeutics, Inc., a pharmaceutical company, develops and commercializes medicines for the treatment of patients with elevated low density lipoprotein cholesterol (LDL-C) in the United States. The company's marketed products include NEXLETOL (bempedoic acid) and NEXLIZET (bempedoic acid and ezetimibe) tablets that are oral, once-daily, non-statin medicines for the treatment of primary hyperlipidemia in adults with heterozygous familial hypercholesterolemia or atherosclerotic cardiovascular disease who require additional lowering of LDL-C. Its products also include NILEMDO, an ATP Citrate Lyase (ACL) inhibitor that lowers LDL-C and cardiovascular risk by reducing cholesterol biosynthesis and up-regulating the LDL receptors; and NUSTENDI, a bempedoic acid and ezetimibe tablet to treat elevated LDL-C. It has license and collaboration agreements with Daiichi Sankyo Co. Ltd to; Otsuka Pharmaceutical Co., Ltd; and Daiichi Sankyo Europe GmbH. Esperion Therapeutics, Inc. was incorporated in 2008 and is headquartered in Ann Arbor, Michigan."
CMPX,5.89,"Compass Therapeutics, Inc.",United States,1.33,6.88,4.81,1067172600,857144640,177862100,125784704,0.07386830109927435,9867000,219895000,Biotechnology,"Compass Therapeutics, Inc., a clinical-stage oncology-focused biopharmaceutical company, engages in the development of antibody-based therapeutics for the treatment of various human diseases in the United States. The company's lead product candidates include tovecimig, a bispecific antibody that blocks Delta-like ligand 4 (DLL4) and vascular endothelial growth factor A (VEGF-A) signaling pathways, which are critical to angiogenesis and tumor vascularization; CTX-471, an IgG4 monoclonal antibody that is an agonist of CD137, a key co-stimulatory receptor on immune cells; and CTX-8371, a bispecific inhibitor that targets programmed cell death protein-1 (PD-1) and ligand PD-L1 checkpoint inhibitor antibodies. It also develops CTX-10726, a bispecific antibody that targets PD-1 and VEFG-A; and VEGF-IO Bispecific / Multiple, a bispecific antibody for angiogenesis pathway and anti-tumor immune that targets, including immune checkpoints, as well as analyzes VEGF combinations with other immune response-related proteins. Compass Therapeutics, Inc. was founded in 2014 and is headquartered in Boston, Massachusetts."
VTVT,38.515,vTv Therapeutics Inc.,United States,14,44,5,494245820,396092220,12408642,1283932,0.0098726355390058,360000,98504000,Biotechnology,"vTv Therapeutics Inc., a late-stage biopharmaceutical company, focuses on developing oral small molecule drug candidates intended to treat people living with diabetes and other chronic diseases. Its lead drug candidate is cadisegliatin (TTP399), an orally administered small molecule and liver-selective glucokinase activator that is in Phase III clinical trial to treat type 1 diabetes. The company is also investing a range of molecules across various indications for chronic diseases. It has a license agreement Newsoara Biopharma Co., Ltd. to develop and commercialize phosphodiesterase type 4 inhibitors program. The company was incorporated in 2015 and is headquartered in High Point, North Carolina."
LYEL,23.48,"Lyell Immunopharma, Inc.",United States,7.65,45,4,490098020,214759020,21243954,8602687,0.02824413007107811,44285000,319624000,Biotechnology,"Lyell Immunopharma, Inc., a clinical-stage cell therapy company, develops chimeric antigen receptor (CAR) T-cell product candidates for patients with hematologic malignancies and solid tumors. The company develops therapies using various approaches, such as c-Jun overexpression and NR4A3 gene knockout, to endow functional resistance to exhaustion; Epi-R to generate population of stem-like T cells with reduced exhaustion and improved proliferation and antitumor activity; CD62L positive enrichment to generate CAR T cells with enhanced antitumor activity; and Stim-R, a proprietary synthetic-cell mimetic. It is also developing IMPT-314, a dual-targeting CD19/CD20 CAR T-cell product candidate that is in Phase 1/2 clinical development for the treatment of patients with aggressive relapsed/refractory large B-cell non-Hodgkin lymphoma; and solid tumors program which is in preclinical trial targeting solid tumor indications. Lyell Immunopharma, Inc. was incorporated in 2018 and is headquartered in South San Francisco, California."
ARQT,27.01,"Arcutis Biotherapeutics, Inc.",United States,11.86,31.77,4.5,3304839400,3227545300,122492190,102645885,0.01452951650828932,113774000,191068000,Biotechnology,"Arcutis Biotherapeutics, Inc., a biopharmaceutical company, focuses on developing and commercializing treatments for dermatological diseases. Its lead product is ZORYVE, a topical roflumilast cream for the treatment of plaque psoriasis and atopic dermatitis. The company is also developing ARQ-154, a topical ZORYVE foam for the treatment of scalp and body psoriasis and seborrheic dermatitis; ARQ-255, a selective small molecule inhibitor of JAK1 for the treatment of alopecia areata; ARQ-252, a JAK1-selective topical cream in development for hand eczema and vitiligo; and ARQ-234, a CD200R fusion protein for the treatment of atopic dermatitis. The company was formerly known as Arcutis, Inc. and changed its name to Arcutis Biotherapeutics, Inc. in October 2019. Arcutis Biotherapeutics, Inc. was incorporated in 2016 and is headquartered in Westlake Village, California."
AMRX,14.58,"Amneal Pharmaceuticals, Inc.",United States,6.685,15.42,4.4,4608560600,7158092300,314362900,156418159,0.39167243388628664,2685724000,203475000,Drug Manufacturers - Specialty & Generic,"Amneal Pharmaceuticals, Inc., a global biopharmaceutical company, develops, manufactures, markets, and distributes generics, injectables, biosimilars, and specialty branded pharmaceutical products worldwide. The company operates through three segments: Affordable Medicines, Specialty, and AvKARE. The Affordable Medicines segment offers dosage forms and delivery systems, which include immediate and extended-release oral solids, powders, liquids, sterile injectables, nasal sprays, inhalation and respiratory products, biosimilar products, ophthalmics, films, transdermal patches, and topicals. The Specialty segment develops, promotes, sells, and distributes pharmaceutical products with focus on central nervous system disorders, including Parkinson's disease, and endocrine disorders. This segment provides Rytary, an oral capsule formulation of carbidopa-levodopa to treat Parkinson's disease, post-encephalitic parkinsonism, and parkinsonism; Unithroid and ONGENTYS for the treatment of hypothyroidism; and CREXONT which is use for the treatment of Parkinson's disease. The AvKARE segment offers pharmaceuticals, medical and surgical products, and services primarily to governmental agencies, the Department of Defense, and the Department of Veterans Affairs. This segment also distributes bottle and unit dose pharmaceuticals under the AvKARE and AvPAK names; and packages and distributes pharmaceuticals and vitamins to its retail and institutional customers. It sells its products through wholesalers, distributors, retail pharmacies, managed care organizations, purchasing co-ops, hospitals, government agencies, institutions, and pharmaceutical companies. The company was formerly known as Atlas Holdings, Inc. and changed its name to Amneal Pharmaceuticals, Inc. in 2018. Amneal Pharmaceuticals, Inc. was founded in 2002 and is headquartered in Bridgewater, New Jersey."
DAWN,10.93,"Day One Biopharmaceuticals, Inc.",United States,5.635,13.2,4.44,1234159500,785472500,102675500,70282943,0.043363469506095036,2893000,441113000,Biotechnology,"Day One Biopharmaceuticals, Inc., a commercial-stage company, focused on advancing class medicines for childhood and adult diseases with equal intensity in the United States. The company's lead product candidate is tovorafenib, an oral brain-penetrant type II pan-rapidly accelerated fibrosarcoma kinase inhibitor that is in Phase II clinical trial for pediatric patients with relapsed or refractory low-grade glioma; and Ipsen, a frontline raf-altered pLGG which is in Phase III clinical trial stage. It also developing DAY301, which is in phase I clinical trial for adult and pediatric cancers; and VRK1 Inhibitor which is in pre-clinical stage for adult and pediatric cancers. Day One Biopharmaceuticals, Inc. was incorporated in 2018 and is headquartered in Brisbane, California."
KMDA,9.31,Kamada Ltd.,Israel,5.54,9.35,5,532731000,468238370,57681590,11333091,0.07194680313077362,11470000,71997000,Drug Manufacturers - Specialty & Generic,"Kamada Ltd. manufactures and sells plasma-derived protein therapeutics. Its products include KAMRAB/KEDRAB indicated as prophylaxis of rabies; CYTOGAM for prophylaxis of Cytomegalovirus disease in kidney, lung, liver, pancreas, heart, and heart/lung transplants; VARIZIG for post exposure prophylaxis of varicella; WINRHO SDF for immune thrombocytopenic purpura and suppression of rhesus isoimmunization; HEPAGAM B for prevention of hepatitis B recurrence liver transplants and post-exposure prophylaxis; GLASSIA for intravenous AATD; KAMRHO (D) IM for prophylaxis of hemolytic disease of newborns; and Echis coloratus and Vipera palaestinae Antiserum to treat snake bite. The company also distributes biopharmaceutical products in Israel, including BRAMITOB to manage chronic pulmonary infection; FOSTER to treat asthma; TRIMBOW for chronic obstructive pulmonary disease; PROVOCHOLINE for the diagnosis of bronchial airway hyperactivity; AEROBIKA, an OPEP device; RUPAFIN and RUPAFIN ORAL SOLUTION for allergic rhinitis and Urticaria; SINTREDIUS for rheumatoid arthritis, systemic lupus erythematosus, and mild-moderate juvenile dermatomyositis; IVIG for various immunodeficiency-related conditions; VARITECT for chicken pox and zoster herpes; ZUTECTRA and HEPATECT CP for prevention of hepatitis B; MEGALOTECT CP for CMV virus; RUCONEST for angioedema attack; HEPARIN SODIUM INJECTION for thrombo-embolic disorders and prophylaxis of deep vein thrombosis and thromboembolic events; ALBUMIN and ALBUMIN for blood plasma; Factor VIII for hemophilia type A; and Factor IX for hemophilia type B. In addition, it distributes COAGADEX to treat hereditary factor X deficiency; IXIARO for Japanese encephalitis; VIVOTIF for salmonella typhi; PROCYSBI for nephropathic cystinosis; LAMZEDE for alpha-mannosidosis; RYPLAZIM for hypoplasminogenemia; ELIGARD for prostate cancer; and BEVACIZUMAB KAMADA for various cancers. The company was incorporated in 1990 and is headquartered in Rehovot, Israel."
IVVD,1.71,"Invivyd, Inc.",United States,0.46,3.0699,4.5,476558080,394268100,281987040,164310569,0.002439381671851556,2677000,84967000,Biotechnology,"Invivyd, Inc., a biopharmaceutical company, focuses on the discovery, development, and commercialization of antibody-based solutions for infectious diseases in the United States. The company's pipeline includes PEMGARDA (pemivibart) injection, a half-life extended investigational monoclonal antibody (mAb) for the prevention of COVID-19 in adults and adolescents; VYD2311, an mAb candidate, which is in preclinical studies for the prevention or treatment of COVID-19; and Adintrevimab that is in phase 2/3 clinical trials for the prevention and treatment of COVID-19. It also has discovery stage candidates for the prevention of seasonal influenza and COVID-19. The company has a collaboration agreement with Adimab, LLC for the discovery and optimization of proprietary antibodies. The company was formerly known as Adagio Therapeutics, Inc. and changed its name to Invivyd, Inc. in September 2022. Invivyd, Inc. was incorporated in 2020 and is headquartered in Waltham, Massachusetts."
RCUS,20.27,"Arcus Biosciences, Inc.",United States,6.5,26.4,4.5,2498079200,1789079200,123728536,91259906,0.03500738975514185,132000000,831000000,Biotechnology,"Arcus Biosciences, Inc., a clinical-stage biopharmaceutical company, develops and commercializes cancer therapies in the United States. The company's development product portfolio includes Casdatifan, a HIF-2a inhibitor for the treatment of kidney cancer; and Domvanalimab, an anti-TIGIT antibody, which is in Phase 2 and Phase 3 clinical trial for lung and gastrointestinal cancers. It also develops Quemliclustat, a small molecule inhibitor that targets the CD73 enzyme in the ATP-adenosine pathway, which is in phase 3 and phase 1/1b clinical trial for lung and pancreatic cancer; Etrumadenant, a dual A2a/A2b adenosine receptor antagonist, which is in phase 2 clinical trial for colorectal cancer; and Zimberelimab, an anti-PD-1 antibody. In addition, the company develops AB598, a CD39 antibody, which is in phase 1/1b clinical study for gastrointestinal cancer; and AB801, an AXL inhibitor, which is in Phase 1b clinical trial for lung cancer. It has clinical collaboration with AstraZeneca for the Phase 3 PACIFIC-8 trial evaluating domvanalimab and durvalumab in Stage 3 NSCLC and for a Phase 1/1b study evaluating casdatifan and volrustomig in IO-naive patients with ccRCC; and BVF Partners L.P. to support the discovery and development of compounds for the treatment of inflammatory diseases. Arcus Biosciences, Inc. was incorporated in 2015 and is based in Hayward, California."
RIGL,34.62,"Rigel Pharmaceuticals, Inc.",United States,15.5,52.24,4.2,626402900,550139900,18151344,16505193,0.01624348037258288,60880000,137143000,Biotechnology,"Rigel Pharmaceuticals, Inc., a biotechnology company, engages in discovering, developing, and providing therapies that enhance the lives of patients with hematologic disorders and cancer. The company's commercialized products include Tavalisse, an oral spleen tyrosine kinase inhibitor for the treatment of adult patients with chronic immune thrombocytopenia; Rezlidhia, a non-intensive monotherapy to treat adult patients with relapsed or refractory (R/R) acute myeloid leukemia (AML) with a susceptible isocitrate dehydrogenase-1 (IDH1) mutation as detected by an FDA-approved test; and GAVRETO, a once daily, small molecule, oral, kinase inhibitor for the treatment of adult patients with metastatic rearranged during transfection (RET) fusion-positive non-small cell lung cancer (NSCLC), as well as to treat adult and pediatric patients twelve years of age and older with advanced or metastatic RET fusion-positive thyroid cancer. It also develops R289, an oral interleukin receptor-associated kinases 1 and 4 (IRAK1/4) inhibitor for the treatment of hematology-oncology, autoimmune, and inflammatory diseases, as well as to treat lower-risk myelodysplastic syndrome. In addition, the company has product candidates in clinical development with partners BerGenBio ASA, Eli Lilly and Company, and Daiichi Sankyo. It has strategic development collaboration with The University of Texas MD Anderson Cancer Center for the development of Olutasidenib in AML and other hematologic cancers with IDH1mutations, as well as with collaborative network for neuro-oncology clinical trials to evaluate Olutasidenib in combination with temozolomide in patients with high-grade glioma harboring an IDH1 mutation. Rigel Pharmaceuticals, Inc. was incorporated in 1996 and is headquartered in South San Francisco, California."
