Symbol,Price,Name,Country,52W Low,52W High,Wall Street Ratings,Market Cap,EV,Shares Outstanding,Institutional Shares,Insider %,Total Debt,Total Cash,Industry,Business Summary
VALN,11.41,Valneva SE,France,5.4289,12.25,4.33,1039530940,1101221000,173753100,38929866,0.01117826975378591,229916640,168422164.8274243,Biotechnology,"Valneva SE, a specialty vaccine company, develops, manufactures, and commercializes prophylactic vaccines for infectious diseases with unmet needs. It offers IXIARO, an inactivated Vero cell culture-derived Japanese encephalitis vaccine indicated for active immunization against Japanese encephalitis; DUKORAL, an oral vaccine for the prevention of diarrhea caused by Vibrio cholera or heat-labile toxin producing enterotoxigenic Escherichia coli bacterium; and IXCHIQ/ VLA1553, a single-dose, live-attenuated vaccine for the prevention of disease caused by chikungunya virus. The company also develops VLA15, a vaccine candidate against Borrelia, the bacterium that causes Lyme disease; S4V2, a tetravalent bioconjugate vaccine candidate against shigellosis, a diarrheal infection caused by Shigella bacteria; VLA1601, a vaccine candidate targeting the Zika virus, a mosquito-borne viral disease; VLA1554, a vaccine candidate targeting human metapneumovirus; VLA84, a vaccine candidate targeting the prevention of primary symptomatic clostridium difficile infection; and VLA2112, a vaccine candidate to treat patients with epstein-barr virus. It sells its products in the United States, Canada, Germany, Austria, Nordics, the United Kingdom, France, rest of Europe, and internationally. The company was founded in 1998 and is based in Saint-Herblain, France."
QURE,24.87,uniQure N.V.,Netherlands,7.76,71.5,4.35,1496868600,1334285700,62291664,52981848,0.01586907176217855,531662000,694245000,Biotechnology,"uniQure N.V. develops treatments for patients suffering from rare and other devastating diseases in the United States. The company offers HEMGENIX that allows people living with hemophilia B to produce factor IX, which can lower the risk of bleeding. Its lead product candidate is AMT-130, a gene therapy candidate, which is in Phase I/II clinical study for the treatment of Huntington's disease. The company also develops AMT-260, which is in Phase I/IIa clinical trial for the treatment of mesial temporal lobe epilepsy; AMT-162, which is in Phase I/IIa clinical trial to treat superoxide dismutase enzyme-amyotrophic lateral sclerosis; and AMT-191, an investigational gene therapy candidate which is in phase I/IIa clinical trial for the treatment of fabry disease. It has a licensing agreement with Apic Bio to develop, manufacture, and commercialize intrathecally administered investigational gene therapy for ALS caused by mutations in SOD-1; and development and commercial supply agreement with CLS Bhering. uniQure N.V. was founded in 1998 and is headquartered in Amsterdam, the Netherlands."
PTCT,67.76,"PTC Therapeutics, Inc.",United States,35.95,87.5,4,5709801000,6471493600,82774730,88379259,0.02122564899703586,2707064000,1945371000,Biotechnology,"PTC Therapeutics, Inc., a biopharmaceutical company, focuses on the discovery, development, and commercialization of medicines to children and adults living with rare disorders in the United States and internationally. The company provides Translarna and Emflaza for the treatment of Duchenne muscular dystrophy; Upstaza to treat aromatic l-amino acid decarboxylas (AADC) deficiency, a central nervous system disorder; Tegsedi and Waylivra for the treatment of rare diseases; and Evrysdi to treat spinal muscular atrophy (SMA) in adults and children. Its development pipeline products include Sepiapterin for the treatment of phenylketonuria; PTC518 splicing platform, which is being developed for the treatment of Huntington's disease; and inflammation and ferroptosis platforms, including vatiquinone to treat Friedreich's ataxia. The company distributes its products through third-party distributors. It has collaborations with F. Hoffman-La Roche Ltd., Hoffman-La Roche Inc., the SMA Foundation, National Taiwan University, Akcea Therapeutics, Inc., and Shiratori Pharmaceutical Co., Ltd. The company has license and collaboration agreement with Novartis Pharmaceuticals Corporation to develop PTC518 Huntington's disease program. It markets Upstaza, a gene therapy with the brand name Kebilidi in the United States. PTC Therapeutics, Inc. was incorporated in 1998 and is headquartered in Warren, New Jersey."
FULC,8.98,"Fulcrum Therapeutics, Inc.",United States,2.315,15.7399,4.33,566025100,220162100,65970292,45413622,0.01160951512959738,6443000,352306000,Biotechnology,"Fulcrum Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops small molecules to improve the lives of patients with genetically defined diseases in the areas of high unmet medical need in the United States. Its clinical-stage product candidate is pociredir, a fetal hemoglobin inducer, which is in phase 1b clinical trial for the treatment of sickle cell disease and beta-thalassemia. The company also discovers programs for the treatment of diamond-blackfan anemia, Bone Marrow Failure Syndromes, novel fetal hemoglobin inducers, fibrotic disorders. It has licensce agreement with CAMP4 which includes certain small molecule compounds, composition of matter and method of use patent rights, and know-how to research, develop, manufacture, use, and commercialize. Fulcrum Therapeutics, Inc. was Incorporated in 2015 and is headquartered in Cambridge, Massachusetts."
FDMT,9.92,"4D Molecular Therapeutics, Inc.",United States,2.235,12.34,4.45,513649280,163684290,51007870,39882063,0.03335125256430374,22263000,305063000,Biotechnology,"4D Molecular Therapeutics, Inc., a late-stage biotechnology company, engages in the development of adeno-associated virus vectors from its proprietary synthetic vector discovery platform, Therapeutic Vector Evolution in the Netherlands and the United States. Its lead product candidate is 4D-150 for the treatment of retinal vascular diseases by providing multi-year sustained production of anti-VEGF from the retina with intravitreal injection, as well as for treating wet age-related macular degeneration and diabetic macular edema. The company is also developing 4D-710, which is in early-stage study for the treatment of cystic fibrosis; 4D-175 that is in preclinical stage for treating geographic atrophy; 4D-725, which is in preclinical stage for the treatment of alpha-1 anti-trypsin deficiency lung disease; and 4D-310 that is in Phase 1 clinical trial for treating Fabry disease. 4D Molecular Therapeutics, Inc. has collaboration and licensing agreements with Astellas Gene Therapies, Inc.; Arbor Biotechnologies, Inc.; and uniQure biopharma B.V. The company was founded in 2013 and is headquartered in EmeryVille, California."
IMVT,27.23,"Immunovant, Inc.",United States,12.72,29.25,4.41,5574746600,4580221400,203532180,97030092,0.005368950133802476,-,994525000,Biotechnology,"Immunovant, Inc., a clinical-stage immunology company, develops monoclonal antibodies for the treatment of autoimmune diseases. It develops IMVT-1402 for graves' disease, rheumatoid arthritis, myasthenia gravis, chronic inflammatory demyelinating polyneuropathy, cutaneous lupus erythematosus disease, and sjögren's disease; and batoclimab for myasthenia gravis, chronic inflammatory demyelinating polyneuropathy, and thyroid eye disease. The company was founded in 2018 and is based in New York, New York. Immunovant, Inc. is a subsidiary of Roivant Sciences Ltd."
CAPR,28.35,"Capricor Therapeutics, Inc.",United States,4.3,40.37,4.8,1443462700,1359439500,51718476,27207591,0.01141006187827464,14542789,98565971,Biotechnology,"Capricor Therapeutics, Inc., a clinical-stage biotechnology company, engages in the development of transformative cell and exosome-based therapeutics for treating duchenne muscular dystrophy (DMD) and other diseases with unmet medical needs in the United States. Its lead product candidate is the Deramiocel, an allogeneic cardiosphere-derived cells, which is in phase 3 clinical trial for the treatment of DMD. The company also develops Exosome protein-based vaccine, which is in preclinical trial to treat SARS-CoV-2; StealthX Exosome Platform, and exosome platform program consists of engineered exosomes for vaccine and therapeutic development and is in preclinical trial. In addition, it engages in developing StealthX, an engineered exosome-based vaccine candidate, under phase 1 clinical study for a range of therapeutic applications, including targeted RNA, protein, and small molecule therapeutics to treat or prevent a variety of diseases; and CAP-2003, and allogeneic cardiosphere-derived cells-exosomes, which is in preclinical trial to treat DMD. It has license agreement with Johns Hopkins University, University of Rome License, and Cedars-Sinai Medical Center to develop and commercialize licensed products and licensed services under the licensed patent rights in all fields and a nonexclusive right to the know-how; Cell Line License Agreement with Life Technologies for the development of exosomes platform. The company was founded in 2005 and is headquartered in San Diego, California."
SEPN,29.99,"Septerna, Inc.",United States,4.66,32.63,4.87,1381731600,844283600,44774190,25902917,0.02999338247906035,24110000,474346000,Biotechnology,"Septerna, Inc., a clinical-stage biotechnology company, discovers and develops G protein-coupled receptor (GPCR) oral small molecule products for the treatment of endocrinology, immunology and inflammation, and metabolic diseases. It develops PTH1R Program, oral small molecule Parathyroid Hormone 1 Receptor agonists for the treatment of hypoparathyroidism; SEP-631, an oral small molecule MRGPRX2 negative allosteric modulator (NAM) for chronic spontaneous urticaria and other mast cell diseases; and TSHR Program, an oral small molecule TSHR NAM for graves' disease and thyroid eye disease. The company also develops oral small molecule single- and multi-incretin receptor agonists for metabolic disorders, including obesity and type 2 diabetes. In addition, it focuses on other therapeutic areas, including neurology, women's health, cardiovascular disease, and respiratory disease. The company was formerly known as GPCR NewCo, Inc. and changed its name to Septerna Inc. in June 2021. Septerna, Inc. was incorporated in 2019 and is headquartered in South San Francisco, California."
STOK,35.5,"Stoke Therapeutics, Inc.",United States,5.35,38.693,4.91,2027658900,1703815800,57117150,59670364,0.031180878047275228,4782000,248310000,Biotechnology,"Stoke Therapeutics, Inc., an early-stage biopharmaceutical company, engages in the development of treatments for severe genetic diseases by upregulating protein expression. The company utilizes its proprietary Targeted Augmentation of Nuclear Gene Output (TANGO) approach in developing antisense oligonucleotides (ASOs) to selectively restore protein levels. Its lead product candidates include STK-002, which is in preclinical stage for the treatment of autosomal dominant optic atrophy; and Zorevunersen (STK-001), an investigational new medicine for the treatment of Dravet syndrome is being evaluated in phase I/II clinical trials. The company also develops programs focused on various targets, including haploinsufficiency diseases of the central nervous system and eye. It has a license and collaboration with Biogen Inc. for the development and commercialization of zorevunersen medicine for the treatment of Dravet syndrome; and Acadia Pharmaceuticals Inc. for the discovery, development, and commercialization of novel RNA-based medicines for the treatment of genetic neurodevelopmental diseases. The company was formerly known as ASOthera Pharmaceuticals, Inc. and changed its name to Stoke Therapeutics, Inc. in May 2016. Stoke Therapeutics, Inc. was incorporated in 2014 and is headquartered in Bedford, Massachusetts."
FBRX,28.44,"Forte Biosciences, Inc.",United States,4.9,35.62,5,508196220,414782200,17831446,11353422,0.02460153820391235,-,93414000,Biotechnology,"Forte Biosciences, Inc. operates as a clinical-stage biopharmaceutical company in the United States. The company's lead product candidate is the FB-102, a proprietary anti-CD122 monoclonal antibody therapeutic candidate for various autoimmune and autoimmune-related indications, such as graft-vs-host disease, vitiligo, and alopecia areata, as well as for celiac disease and non-segmental vitiligo. Forte Biosciences, Inc. is headquartered in Dallas, Texas."
MIRM,108.62,"Mirum Pharmaceuticals, Inc.",United States,36.8801,109.28,4.72,6435898000,6379114000,59879960,54815602,0.01165946746085052,318764000,375548000,Biotechnology,"Mirum Pharmaceuticals, Inc., a biopharmaceutical company, focuses on the development and commercialization of novel therapies for debilitating rare and orphan diseases. Its lead product candidate is LIVMARLI (maralixibat), an orally administered and minimally absorbed ileal bile acid transporter (IBAT) inhibitor that is approved for the treatment of cholestatic pruritus in patients with Alagille syndrome in the United States and internationally. The company is also involved in the commercialization of Cholbam, a cholic acid capsule, which is approved as treatment for pediatric and adult patients with bile acid synthesis disorders due to single enzyme defects and for adjunctive treatment of patients with peroxisomal disorders, including peroxisome biogenesis disorder-Zellweger spectrum disorder and Smith-Lemli-Opitz syndrome; and Chenodal, a tablet, which is approved for the treatment of radiolucent stones in the gallbladder, and under Phase 3 development for the treatment cerebrotendinous xanthomatosis. In addition, it develops Volixibat, an oral and minimally absorbed agent designed to inhibit IBAT, currently under Phase 2b clinical trial for the treatment of adult patients with cholestatic liver diseases. The company was incorporated in 2018 and is headquartered in Foster City, California."
PEPG,6.4,PepGen Inc.,United States,0.8801,7.8,4.5,434488770,288261760,68748220,35066895,0.0009992112668976002,17438000,163665000,Biotechnology,"PepGen Inc., a clinical-stage biotechnology company, develops oligonucleotide therapeutics for the treatment of severe neuromuscular and neurologic diseases in the United States. Its lead product candidates comprise PGN-EDO51, an EDO peptide which is Phase 2 clinical trial to treat duchenne muscular dystrophy (DMD) patients that are amenable to an exon 51-skipping approach; PGN-EDODM1, an EDO peptide-conjugated PMO, which is in Phase 2 clinical trial for the treatment of myotonic dystrophy type 1; and PGN-EDO53, which is in preclinical trial to treat duchenne muscular dystrophy. The company was founded in 2018 and is based in Boston, Massachusetts."
IRWD,3.36,"Ironwood Pharmaceuticals, Inc.",United States,0.5271,5.78,3.75,616552060,1074385000,162678640,115832369,0.0238661008780089,598240000,215456000,Drug Manufacturers - Specialty & Generic,"Ironwood Pharmaceuticals, Inc., a biotechnology company, focuses on the development and commercialization of therapies for gastrointestinal (GI) and rare diseases in the United States and internationally. It markets linaclotide, a guanylate cyclase type-C (GC-C) agonist for the treatment of adults suffering from irritable bowel syndrome with constipation or chronic idiopathic constipation, as well as for pediatric patients suffering from functional constipation under the LINZESS and CONSTELLA names. The company is also developing IW-3300, a GC-C agonist for the treatment of visceral pain conditions, including interstitial cystitis/bladder pain syndrome and endometriosis; and Apraglutide, a long-acting synthetic peptide analog of glucagon-like peptide-2 for short bowel syndrome patients dependent on parenteral support, as well as for acute graft versus host disease. It has strategic partnerships with AbbVie Inc., AstraZeneca AB, and Astellas Pharma Inc. for the development and commercialization of linaclotide. The company was formerly known as Microbia, Inc. and changed its name to Ironwood Pharmaceuticals, Inc. in April 2008. Ironwood Pharmaceuticals, Inc. was incorporated in 1998 and is headquartered in Boston, Massachusetts."
PAHC,53.1,Phibro Animal Health Corporation,United States,16.16,56.3,3,2085916500,2785631500,40534716,20113348,0.4895168872035516,774536000,74821000,Drug Manufacturers - Specialty & Generic,"Phibro Animal Health Corporation operates as an animal health and mineral nutrition company in the United States, Latin America and Canada, Europe, the Middle East, Africa, and the Asia Pacific. It operates through three segments: Animal Health, Mineral Nutrition, and Performance Products. The company develops, manufactures, and markets various products for food and companion animals including poultry, swine, beef and dairy cattle, aquaculture, and dogs. It also offers animal health products, such as antibacterials, anticoccidials, nutritional specialty, and vaccines and vaccine adjuvants for animal's health and performance, food safety, and animal welfare; and engages in developing, manufacturing, and marketing of microbial and bioproducts for various applications serving animal health and nutrition, environmental, industrial, and agricultural customers. In addition, the company develops, manufactures, and markets conventionally licensed and autogenous vaccine products, as well as adjuvants for animal vaccine manufacturers. Further, it provides formulations and concentrations of trace minerals, such as zinc, copper, manganese, iron, and other compounds to fortify the daily feed requirements of their livestock's diets and maintain optimal balance of trace elements in animals. Additionally, the company offers specialty ingredients for use in personal care, industrial chemical, and chemical catalyst industries. It sells its animal health and mineral nutrition products through local sales offices to integrated poultry, swine, and cattle producers, as well as through commercial animal feed manufacturers, wholesalers, and distributors. The company was formerly known as Philipp Brothers Chemicals, Inc. and changed its name to Phibro Animal Health Corporation in July 2003. Phibro Animal Health Corporation was incorporated in 1946 and is headquartered in Teaneck, New Jersey."
KOD,27.62,Kodiak Sciences Inc.,United States,1.92,31.18,4.57,1733957600,1724120600,61971324,37774002,0.04587286284012365,62201000,72038000,Biotechnology,"Kodiak Sciences Inc., a clinical stage biopharmaceutical company, engages in the research, development, and commercialization of therapeutics to treat retinal diseases. Its lead product candidate is tarcocimab tedromer (KSI-301), an anti-vascular endothelial growth factor (VEGF) antibody biopolymer that has complete Phase 3 clinical study to treat high prevalence retinal vascular diseases; and in Phase 3 clinical study for the treatment of diabetic retinopathy, wet age-related macular degeneration (AMD), retinal vein occlusion, and diabetic macular edema, as well as in Phase 2/3 clinical study to treat wet AMD. The company's preclinical stage product candidate includes KSI-501, an anti- interleukin-6 (IL-6) and VEGF-trap bispecific antibody biopolymer conjugate for high prevalence retinal vascular diseases; and KSI-101 (KSI-501P), an unconjugated bispecific protein targeting IL-6 and VEGF developed for patients who have retinal fluid and inflammation. The company was formerly known as Oligasis, LLC and changed its name to Kodiak Sciences Inc. in September 2015. Kodiak Sciences Inc. was incorporated in 2009 and is based in Palo Alto, California."
PVLA,128.6,"Palvella Therapeutics, Inc.",United States,18.225,129.32,5,1425231700,1377685800,11836490,8028039,0.1518170480970827,16021000,63567000,Biotechnology,"Palvella Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing and commercializing novel therapies to treat patients serious and rare genetic skin diseases. The company's lead product candidate is QTORIN 3.9% rapamycin anhydrous gel that is in Phase 3 clinical trial for the treatment of microcystic lymphatic malformations, as well as in Phase 2 clinical trial to treat cutaneous venous malformations. It also develops QTORIN rapamycin for the treatment of other mTOR-driven skin diseases. The company is based in Wayne, Pennsylvania"
MAZE,47.23,"Maze Therapeutics, Inc.",United States,6.71,49.25,4.9,2179810800,1820058800,48119444,30437208,0.01215643749222486,24183000,383935000,Biotechnology,"Maze Therapeutics, Inc., a clinical stage biopharmaceutical company, develops small molecule precision medicines for the treatment of renal, cardiovascular, related metabolic diseases, and obesity in the United States. Its lead programs include MZE829, an oral small molecule inhibitor of apolipoprotein L1, or APOL1, which is in phase II clinical trial for the treatment of patients with APOL1 kidney disease; and MZE782, an oral small molecule inhibitor of the solute transporter SLC6A19, which is in phase I clinical trial for the treatment of chronic kidney disease. The company also offers MZE001, a clinical program for the treatment of Pompe disease. Maze Therapeutics, Inc. was formerly known as Modulus Therapeutics, Inc. and changed its name to Maze Therapeutics, Inc. in September 2018. The company was incorporated in 2017 and is based in South San Francisco, California."
VTYX,13.97,"Ventyx Biosciences, Inc.",United States,0.783,25,3.25,1001780500,819166460,71760776,42679744,0.04219519470650109,10024000,192638000,Biotechnology,"Ventyx Biosciences, Inc., a clinical-stage biopharmaceutical company, develops oral therapies for patients with autoimmune, inflammatory, and neurodegenerative diseases. The company's lead clinical product candidate is VTX958, a selective allosteric tyrosine kinase type 2 inhibitor for Crohn's disease. It is also developing Tamuzimod, a sphingosine 1 phosphate receptor modulator that is in Phase II clinical trials for the treatment of ulcerative colitis; and VTX2735, a peripheral NOD-like receptor protein 3 inflammasome inhibitor to treat patients with cryopyrin-associated periodic syndrome. In addition, the company develops VTX3232, a CNS-penetrant NLRP3 inhibitor that is in Phase 2a trial for patients with early Parkinson's disease and is in Phase 2 trial for patients with obesity and additional risk factors for cardiovascular disease. Ventyx Biosciences, Inc. was incorporated in 2018 and is headquartered in San Diego, California."
