Symbol,Company_Name,Asset_Name,Highest_Phase,Market_Status,Active_Trial_Count,Next_Catalyst_Date,Mechanism_of_Action,Therapeutic_Area,Detailed_Conditions,Trial_NCTIds
ARGX,argenx SE,Efgartigimod PH20,PHASE4,Investigational,6,2026-08-31,FcRn antagonist,"Immunology, Neurology/CNS",New Onset Generalized Myasthenia Gravis (gMG); Chronic Inflammatory Demyelinating Polyneuropathy; Chronic Inflammatory Demyelinating Polyradiculoneuropathy; CIDP; CIDP (Chronic Inflammatory Demyelinating Polyradiculoneuropathy); Primary Sjogrens Disease; Generalized Myasthenia Gravis; Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"NCT06909214, NCT06637072, NCT07264426, NCT06684847, NCT06392386, NCT04280718"
CHSYF,China Medical System Holdings Limited,Cytarabine,PHASE4,Marketed,6,2026-03-30,DNA synthesis inhibitor,"Hematology, Infectious Diseases",Relapsed/Refractory AML; Mature B-cell Non-Hodgkin Lymphoma; Lymphoblastic Lymphoma; T-cell Lymphoblastic Lymphoma; Leukemia; Monocytic; Acute; Pediatric AML,"NCT06763666, NCT07168980, NCT02845882, NCT02405676, NCT05681260, NCT05313958"
CHSYF,China Medical System Holdings Limited,Tislelizumab,PHASE4,Marketed,6,2026-05-31,PD-1 inhibitor,"Immunology, Others",Colonic Neoplasms; Neoadjuvant Therapy; Immune Checkpoint Inhibitors; Esophageal Squamous Cell Carcinoma (ESCC); Locally Advanced Unresectable Esophageal Cancer; Small Cell Lung Cancer; RECTAL NEOPLASMS; Rectal Cancer; Locally Advanced Rectal Carcinoma; Classical Hodgkin Lymphoma; Child; Adolescent; Young Adult; Metabolic Response; Survival; Treatment; Brentuximab Vedotin; PET Scan,"NCT07132008, NCT07039162, NCT06951841, NCT06390982, NCT06312982, NCT06563245"
HLBBF,H. Lundbeck A/S,Eptinezumab,PHASE4,Marketed,6,2026-06-05,CGRP inhibitor,"Neurology/CNS, Pain",Migraine; Chronic Migraine; Treatment; Treatment Refusal; Episodic Migraine; Chronic Migraine in Children,"NCT06428838, NCT07035197, NCT06701526, NCT05897320, NCT05164172, NCT04965675"
CASBF,CanSino Biologics Inc.,MCV4,PHASE4,Marketed,5,2026-05-15,Vaccine,"Infectious Diseases, Others",Diphtheria; Tetanus and Acellular Pertussis; Epidemic Meningitis; Haemophilus Influenzae Type B Infection; Meningococcal Meningitis,"NCT07203755, NCT06389513, NCT06700148, NCT06226714, NCT05935176"
CSWYY,China Shineway Pharmaceutical Group Limited,Platinum,PHASE4,Investigational,5,2026-03-31,DNA cross-linking agent,"Respiratory, Others",Small Cell Lung Cancer; Small Cell Lung Cancer Extensive Stage; Small Cell Lung Cancer Recurrent; Limited Stage Small Cell Lung Cancer; Postoperative Incidental Small Cell Lung Cancer; Toripalimab Adjuvant Therapy Evaluation,"NCT06951841, NCT06648200, NCT07376499, NCT06256237, NCT07097948"
NBIX,"Neurocrine Biosciences, Inc.",Valbenazine,PHASE4,Marketed,5,2026-03-31,VMAT2 inhibitor,"Neurology/CNS, Neurology/CNS",Chorea; Huntington; Obsessive-Compulsive Disorder; Dyskinesia; Cerebral Palsy; Trichotillomania (Hair-Pulling Disorder); Schizophrenia; Schizoaffective Disorder; Bipolar Disorder; Major Depressive Disorder; Tardive Dyskinesia,"NCT04400331, NCT07111988, NCT05206513, NCT05207085, NCT07105111"
AXSM,"Axsome Therapeutics, Inc.",Solriamfetol,PHASE4,Marketed,4,2026-12-01,Dopamine and norepinephrine reuptake inhibitor,"Neurology/CNS, Others",Multiple Sclerosis; Multiple Sclerosis Fatigue; Excessive Sleepiness; Shift-work Disorder; Binge-Eating Disorder; Insomnia,"NCT06170970, NCT06568367, NCT06413433, NCT05838430"
CSWYY,China Shineway Pharmaceutical Group Limited,Anlotinib,PHASE4,Investigational,4,2026-03-31,Multi-kinase inhibitor,"Respiratory, Others",Small Cell Lung Cancer; Locally Advanced Thyroid Gland Carcinoma; Extensive-Stage Small Cell Lung Cancer,"NCT06951841, NCT06482086, NCT07376499, NCT07388875"
CSWYY,China Shineway Pharmaceutical Group Limited,Aspirin,PHASE4,Marketed,4,2026-10-29,COX-1 and COX-2 inhibitor,"Cardiovascular, Hematology",Acute Myocardial Infarction (AMI); Percutaneous Coronary Intervention (PCI); Pregnancy Related; Protein S Deficiency; In-stent Restenosis; Acute Coronary Syndrome; Interventional Cardiology,"NCT07153744, NCT06531525, NCT06090890, NCT04240834"
TVTX,"Travere Therapeutics, Inc.",Sparsentan,PHASE4,Marketed,4,2027-03-12,Endothelin/Angiotensin II Receptor Antagonist,"Immunology, Urology/Nephrology",ANCA Associated Vasculitis; Cardiovascular Diseases; Kidney Diseases; Focal Segmental Glomerulosclerosis; Minimal Change Disease; Immunoglobulin A Nephropathy; IgA Vasculitis; Alport Syndrome; Glomerulonephritis; IGA; Autoimmune Diseases; Immune System Diseases; Proteinuria; Immunoglobulin A (IgA) Nephropathy; Kidney Transplant,"NCT05630612, NCT05003986, NCT04663204, NCT07219121"
CHSYF,China Medical System Holdings Limited,Anlotinib,PHASE4,Marketed,3,2026-03-31,Tyrosine Kinase Inhibitor,Others,Small Cell Lung Cancer; Extensive-Stage Small Cell Lung Cancer,"NCT06951841, NCT07376499, NCT07388875"
CHSYF,China Medical System Holdings Limited,Dexamethasone,PHASE4,Marketed,3,2028-07-31,Glucocorticoid,"Immunology, Others",Multiple Myeloma; Lymphoblastic Lymphoma; T-cell Lymphoblastic Lymphoma,"NCT07334535, NCT02845882, NCT05681260"
CSWYY,China Shineway Pharmaceutical Group Limited,Colchicine,PHASE4,Marketed,3,2026-10-29,Microtubule Inhibitor,"Cardiovascular, Immunology",Transcatheter Aortic Valve Replacement; Transcatheter Heart Valve Thrombosis; Anti-inflammatory Therapy; In-stent Restenosis; Cerebral Amyloid Angiopathy; Intracerebral Hemorrhage Lobar,"NCT07411768, NCT06090890, NCT07026994"
CSWYY,China Shineway Pharmaceutical Group Limited,Ethambutol (E),PHASE4,Marketed,3,2026-12-31,Cell Wall Synthesis Inhibitor,"Infectious Diseases, Respiratory",Pulmonary Tuberculosis; Tuberculosis; Pulmonary; Drug-Susceptible Pulmonary Tuberculosis; Mycobacterium Avium Complex Pulmonary Disease,"NCT07076225, NCT07129629, NCT07213765"
CSWYY,China Shineway Pharmaceutical Group Limited,G-CSF,PHASE4,Marketed,3,2026-03-30,G-CSF Receptor Agonist,Hematology,Relapsed/Refractory AML; Hematologic Malignancies; Leukemia; Monocytic; Acute; Pediatric AML,"NCT06763666, NCT07441967, NCT05313958"
CSWYY,China Shineway Pharmaceutical Group Limited,Rifampicin (R),PHASE4,Marketed,3,2026-12-31,RNA Polymerase Inhibitor,"Infectious Diseases, Respiratory",Pulmonary Tuberculosis; Tuberculosis; Pulmonary; Drug-Susceptible Pulmonary Tuberculosis; Mycobacterium Avium Complex Pulmonary Disease,"NCT07076225, NCT07129629, NCT07213765"
CSWYY,China Shineway Pharmaceutical Group Limited,Sirolimus,PHASE4,Marketed,3,2027-09-01,mTOR Inhibitor,"Immunology, Rare Disease",Kaposiform Hemangioendothelioma; Systemic Lupus Erythematosus; Antiphospholipid (aPL)-Positive; Thrombocytopaenia,"NCT07131644, NCT04582136, NCT06722586"
CSWYY,China Shineway Pharmaceutical Group Limited,lenalidomide,PHASE4,Marketed,3,2026-05-31,IMiD (Immunomodulatory Drug),Others,Multiple Myeloma; Marginal Zone Lymphoma; Follicular Lymphoma,"NCT07334535, NCT05846750, NCT07299149"
IDRSF,Idorsia Ltd,Daridorexant,PHASE4,Marketed,3,2026-05-13,Orexin Receptor Antagonist,"Neurology/CNS, Neurology/CNS",Insomnia; Insomnia Disorder; Alzheimer Disease; Sleep,"NCT06498128, NCT06393504, NCT05924425"
NVO,Novo Nordisk A/S,Insulin icodec,PHASE4,Marketed,3,2026-08-04,Basal Insulin Analog,Metabolic/Endocrinology,Diabetes Mellitus; Type 1; Type 2,"NCT07160816, NCT07076199, NCT07112339"
ACAD,ACADIA Pharmaceuticals Inc.,Pimavanserin,PHASE4,Marketed,2,2026-06-30,Serotonin 5-HT2A Receptor Inverse Agonist,"Neurology/CNS, Neurology/CNS",Neurodegenerative Diseases; Parkinson Disease; Parkinson Disease Psychosis; Intermittent Explosive Disorder,"NCT05357612, NCT05895513"
CHSYF,China Medical System Holdings Limited,Aspirin,PHASE4,Marketed,2,2026-12-31,COX Inhibitor (Antiplatelet),"Cardiovascular, Hematology",Acute Myocardial Infarction (AMI); Percutaneous Coronary Intervention (PCI); Pregnancy Related; Protein S Deficiency,"NCT07153744, NCT06531525"
CHSYF,China Medical System Holdings Limited,Cladribine,PHASE4,Marketed,2,2026-03-30,Purine Analog,"Hematology, Others",Relapsed/Refractory AML; Leukemia; Monocytic; Acute; Pediatric AML,"NCT06763666, NCT05313958"
CHSYF,China Medical System Holdings Limited,Ethambutol (E),PHASE4,Marketed,2,2028-09-30,Cell Wall Synthesis Inhibitor,"Infectious Diseases, Respiratory",Pulmonary Tuberculosis; Mycobacterium Avium Complex Pulmonary Disease,"NCT07076225, NCT07213765"
CHSYF,China Medical System Holdings Limited,G-CSF,PHASE4,Marketed,2,2026-03-30,G-CSF Receptor Agonist,Hematology,Relapsed/Refractory AML; Leukemia; Monocytic; Acute; Pediatric AML,"NCT06763666, NCT05313958"
CHSYF,China Medical System Holdings Limited,Liposome Irinotecan,PHASE4,Marketed,2,2026-03-31,Topoisomerase I Inhibitor (Liposomal),Others,Small Cell Lung Cancer,"NCT06951841, NCT07376499"
CHSYF,China Medical System Holdings Limited,Platinum,PHASE4,Investigational,2,2026-03-31,Platinum-based Alkylating Agent,Others,Small Cell Lung Cancer,"NCT06951841, NCT07376499"
CHSYF,China Medical System Holdings Limited,Rifampicin (R),PHASE4,Marketed,2,2028-09-30,RNA Polymerase Inhibitor,"Infectious Diseases, Respiratory",Pulmonary Tuberculosis; Mycobacterium Avium Complex Pulmonary Disease,"NCT07076225, NCT07213765"
CONI.F,"Celltrion, Inc.",Infliximab,PHASE4,Marketed,2,2026-05-31,TNF-alpha Inhibitor,"Immunology, Gastroenterology",Inflammatory Disease; Disease Crohn; Bowel Disease; Inflammatory Bowel Diseases; Crohn Disease; Ulcerative Colitis,"NCT06059989, NCT06113913"
CRMD,CorMedix Inc.,(taurolidine and heparin) catheter lock,PHASE4,Marketed,2,2027-01-31,Antimicrobial; Anticoagulant,Infectious Diseases,Central Line Associated Blood Stream Infections (CLABSI); Catheter-Related Infections,"NCT06822426, NCT06714864"
CSWYY,China Shineway Pharmaceutical Group Limited,Cladribine,PHASE4,Marketed,2,2026-03-30,Antimetabolite,Hematology,Relapsed/Refractory AML; Leukemia; Monocytic; Acute; Pediatric AML,"NCT06763666, NCT05313958"
CSWYY,China Shineway Pharmaceutical Group Limited,Dexmedetomidine,PHASE4,Marketed,2,2026-06-13,Alpha-2 adrenergic receptor agonist,"Cardiovascular, Neurology/CNS",Cardiac Surgery; Cardiopulmonary Bypass; Dexmedetomidine; Delirium; Survival; Acute Ischemic Stroke,"NCT03624595, NCT06139692"
CSWYY,China Shineway Pharmaceutical Group Limited,Empagliflozin,PHASE4,Marketed,2,2026-12-31,SGLT2 inhibitor,"Cardiovascular, Metabolic/Endocrinology",Hypertrophic Cardiomyopathy; Heart Failure With Preserved Ejection Fraction; Pre-Heart Failure; Hypertension,"NCT06401343, NCT06055452"
CSWYY,China Shineway Pharmaceutical Group Limited,Liposome Irinotecan,PHASE4,Marketed,2,2026-03-31,Topoisomerase I inhibitor,Respiratory,Small Cell Lung Cancer,"NCT06951841, NCT07376499"
CSWYY,China Shineway Pharmaceutical Group Limited,Midazolam,PHASE4,Marketed,2,2026-06-13,Benzodiazepine,"Neurology/CNS, Neurology/CNS",Acute Ischemic Stroke; Delirium; Anxiety,"NCT06139692, NCT06963112"
CSWYY,China Shineway Pharmaceutical Group Limited,Penpulimab,PHASE4,Investigational,2,2026-04-30,PD-1 antibody,"Urology/Nephrology, Others",Bladder Cancer; Refractory Hepatocellular Carcinoma,"NCT05488353, NCT07075419"
CSWYY,China Shineway Pharmaceutical Group Limited,Ticagrelor,PHASE4,Marketed,2,Passed,P2Y12 inhibitor,"Cardiovascular, Neurology/CNS",Brain Disease; Vertebral Artery Stenosis; Acute Coronary Syndrome; Interventional Cardiology,"NCT06301776, NCT04240834"
ILPLF,Island Pharmaceuticals Limited,Dexamethasone,PHASE4,Marketed,2,2027-05-31,Corticosteroid,"Others, Respiratory",Patient Preference; Breast Neoplasms; Lung Neoplasms,"NCT04205916, NCT06974604"
NVAX,"Novavax, Inc.",NVX-CoV2705,PHASE4,Marketed,2,2026-04-16,Vaccine,Infectious Diseases,COVID-19; Sars-CoV-2 Infection; SARS-CoV-2 Infection,"NCT07086222, NCT07079670"
NVO,Novo Nordisk A/S,Semaglutide Pen Injector [Ozempic],PHASE4,Marketed,2,2026-12-31,GLP-1 receptor agonist,"Metabolic/Endocrinology, Others",Pre Diabetes; Postpartum Disorder; Intestinal Mucositis; Inflammation; Chemotherapeutic Toxicity,"NCT04873050, NCT06449625"
UCBJY,UCB SA,Rozanolixizumab,PHASE4,Investigational,2,2027-05-06,FcRn inhibitor,"Immunology, Neurology/CNS",Myelin Oligodendrocyte Glycoprotein Antibody-associated Disease (MOG-AD); Myasthenia Gravis,"NCT05063162, NCT07246564"
UCBJY,UCB SA,fenfluramine,PHASE4,Marketed,2,2026-09-03,Anticonvulsant,Neurology/CNS,Dravet Syndrome; Dravet Syndrome (DS); Children Under 2 Years,"NCT06118255, NCT06598449"
ULIHF,The United Laboratories International Holdings Limited,Vancomycin,PHASE4,Marketed,2,2026-06-30,Glycopeptide antibiotic,"Infectious Diseases, Others",Open Fracture; Metastatic Castration-Resistant Prostate Cancer (mCRPC),"NCT03765567, NCT06126731"
AGYTF,Allergy Therapeutics plc,Micronized Progesterone,PHASE4,Marketed,1,2027-09-20,Progestogen,"Metabolic/Endocrinology, Infectious Diseases",HIV Infection; Menopause,NCT06856174
AGYTF,Allergy Therapeutics plc,Transdermal estradiol,PHASE4,Marketed,1,2027-09-20,Estrogen,"Metabolic/Endocrinology, Infectious Diseases",HIV Infection; Menopause,NCT06856174
ALKS,Alkermes plc,XR-NTX,PHASE4,Investigational,1,2027-07-31,Opioid antagonist,"Neurology/CNS, Others",Alcohol Use Disorder; Alcoholism,NCT05028062
ANIP,"ANI Pharmaceuticals, Inc.",40 U,PHASE4,Investigational,1,2027-08-31,Xanthine oxidase inhibitor,"Musculoskeletal, Pain",Gout Arthritis; Gout Flare; Gout,NCT07346079
ANIP,"ANI Pharmaceuticals, Inc.",Aflibercept,PHASE4,Marketed,1,Passed,VEGF inhibitor,"Ophthalmology, Metabolic/Endocrinology",Diabetic Macular Edema,NCT04469595
ANIP,"ANI Pharmaceuticals, Inc.",Fluocinolone Acetonide Intravitreal Implant,PHASE4,Marketed,1,Passed,Corticosteroid,"Ophthalmology, Immunology",Uveitis; Posterior,NCT05322070
ANIP,"ANI Pharmaceuticals, Inc.",Iluvien-0.19 MG Drug Implant,PHASE4,Marketed,1,Passed,Corticosteroid implant,"Ophthalmology, Metabolic/Endocrinology",Diabetic Macular Edema,NCT04469595
ANIP,"ANI Pharmaceuticals, Inc.",Purified Cortophin,PHASE4,Marketed,1,2027-08-31,Corticosteroid,Musculoskeletal,Gout Arthritis; Gout Flare; Gout,NCT07346079
ANIP,"ANI Pharmaceuticals, Inc.",Purified Cortophin Gel-80 U,PHASE4,Marketed,1,2027-08-31,Corticosteroid,Musculoskeletal,Gout Arthritis; Gout Flare; Gout,NCT07346079
ANIP,"ANI Pharmaceuticals, Inc.",fluocinolone acetonide-190 micrograms,PHASE4,Marketed,1,2026-07-15,Corticosteroid implant,Ophthalmology,Non-infectious Uveitis Affecting the Posterior Segment of the Eye,NCT06539481
ARGX,argenx SE,IV efgartigimod,PHASE4,Marketed,1,Passed,FcRn antagonist,Immunology,Myasthenia Gravis Crisis,NCT06688253
AXSM,"Axsome Therapeutics, Inc.",AXS-05,PHASE4,Marketed,1,2026-03-31,NMDA receptor agonist / Sigma-1 receptor agonist / Norepinephrine reuptake inhibitor,Neurology/CNS,Major Depressive Disorder,NCT06223880
AXSM,"Axsome Therapeutics, Inc.",Bupropion,PHASE4,Marketed,1,2026-03-31,Norepinephrine reuptake inhibitor / Dopamine reuptake inhibitor,Neurology/CNS,Major Depressive Disorder,NCT06223880
BMRN,BioMarin Pharmaceutical Inc.,RDD to Palynziq,PHASE4,Marketed,1,Passed,Pegylated enzyme replacement therapy,Rare Disease,Phenylketonuria; PKU,NCT06780332
BMYMP,Bristol-Myers Squibb Company PFD CONV 2,Xanomeline/trospium chloride,PHASE4,Investigational,1,2027-11-30,Muscarinic receptor agonist / Anticholinergic,Neurology/CNS,Healthy Volunteers,NCT07257120
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Aflibercept Intravitreous Injection (2mg) Monotherapy,PHASE4,Marketed,1,2027-09-15,VEGF inhibitor,"Ophthalmology, Metabolic/Endocrinology",Diabetic Macular Edema (DME),NCT07438119
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Aspirin,PHASE4,Marketed,1,2028-12-31,Antiplatelet agent,Cardiovascular,Acute Myocardial Infarction (AMI); Percutaneous Coronary Intervention (PCI),NCT07153744
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Brivudine,PHASE4,Marketed,1,2026-12-31,Antiviral agent,Infectious Diseases,Herpes Zoster,NCT07099157
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Combination Therapy with Aflibercept Intravitreous Injection (2mg) and Dexamethasone Intravitreal Implant,PHASE4,Marketed,1,2027-09-15,VEGF inhibitor / Corticosteroid implant,"Ophthalmology, Metabolic/Endocrinology",Diabetic Macular Edema (DME),NCT07438119
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Famciclovir,PHASE4,Marketed,1,2026-12-31,Antiviral agent,Infectious Diseases,Herpes Zoster,NCT07099157
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Methylprednisolone (Injectable Form),PHASE4,Marketed,1,2027-08-31,Corticosteroid,"Neurology/CNS, Cardiovascular",Unruptured Intracranial Aneurysms; Cerebrovascular Event; Hemorrhagic Stroke; Methylprednisolone; Flow Diverter,NCT07353749
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Shenfu,PHASE4,Marketed,1,2026-09-30,Unknown,"Infectious Diseases, Cardiovascular",Septic Cardiomyopathy; Septic Shock,NCT06898723
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Shexiang Baoxin Pill,PHASE4,Marketed,1,2028-12-31,Unknown,Cardiovascular,Acute Myocardial Infarction (AMI); Percutaneous Coronary Intervention (PCI),NCT07153744
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Songling Xuemaikang,PHASE4,Marketed,1,Passed,Unknown,Cardiovascular,"Hypertension,Essential",NCT06093932
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Wangbi granules,PHASE4,Marketed,1,Passed,Unknown,"Immunology, Musculoskeletal",Rheumatoid Arthritis,NCT05540938
CHIZF,China Traditional Chinese Medicine Holdings Co. Limited,Wangbi granules simulant,PHASE4,Investigational,1,Passed,Unknown,"Immunology, Musculoskeletal",Rheumatoid Arthritis,NCT05540938
CHSYF,China Medical System Holdings Limited,30%Oxygen,PHASE4,Marketed,1,Passed,Oxygen therapy,Respiratory,Atelectasis; Postoperative,NCT06013098
CHSYF,China Medical System Holdings Limited,40% Oxygen,PHASE4,Marketed,1,2026-06-30,Oxygen therapy,Respiratory,Oxygenation Index,NCT06359106
CHSYF,China Medical System Holdings Limited,5% glucose,PHASE4,Marketed,1,2026-10-01,Unknown,"Infectious Diseases, Hematology",Sepsis; Sepsis-induced Coagulopathy; Nafamostat Mesilate,NCT06078839
CHSYF,China Medical System Holdings Limited,60%Oxygen,PHASE4,Marketed,1,Passed,Oxygen therapy,Respiratory,Atelectasis; Postoperative,NCT06013098
CHSYF,China Medical System Holdings Limited,80% Oxygen,PHASE4,Marketed,1,2026-06-30,Oxygen therapy,Respiratory,Oxygenation Index,NCT06359106
CHSYF,China Medical System Holdings Limited,Acitretin Capsules.,PHASE4,Marketed,1,Passed,Retinoid,Dermatology,Primary Cutaneous Amyloidosis,NCT06998875
